"Code","Param","Beschreibung","Aufruf"
"ZHL_FREMDWAEHRBAR","","Fremdwährungs-Barzahlung","^jpl Kassen_Funktion('ZHL_FREMDWAEHRBAR','')"
"ZHL_FREMDWAEHRBAR","79","Fremdwährungs-Barzahlung mit norwegischen Kronen","^jpl Kassen_Funktion('ZHL_FREMDWAEHRBAR','79')"
"ZHL_GUTSCHEIN","","Gutscheinzahlung","^jpl Kassen_Funktion('ZHL_GUTSCHEIN','')"
"ZHL_STO","","STORNO Zahlungsweg","^jpl Kassen_Funktion('ZHL_STO','')"
"ZHL_STO_ALL","","Alle Zahlungen stornieren","^jpl Kassen_Funktion('ZHL_STO_ALL','')"
"ZHL_STO_ALL","","Zahlungsvorgang wird abgbrochen","^jpl Kassen_Funktion('ZHL_STO_ALL','')"
"ZHLG","MARKTKS","Aufruf Zahlungsmaske [ZHLG]","^jpl Kassen_Funktion('ZHLG','MARKTKS')"
"ZIFFER","-","negatives Vorzeichen","^jpl Kassen_Funktion('ZIFFER','-')"
"ZIFFER",",","Komma","^jpl Kassen_Funktion('ZIFFER',',')"
"ZIFFER","0","Ziffer 0","^jpl Kassen_Funktion('ZIFFER','0')"
"ZIFFER","1","Ziffer 1","^jpl Kassen_Funktion('ZIFFER','1')"
"ZIFFER","2","Ziffer2","^jpl Kassen_Funktion('ZIFFER','2')"
"ZIFFER","3","Ziffer3","^jpl Kassen_Funktion('ZIFFER','3')"
"ZIFFER","4","Ziffer 4","^jpl Kassen_Funktion('ZIFFER','4')"
"ZIFFER","5","Ziffer5","^jpl Kassen_Funktion('ZIFFER','5')"
"ZIFFER","6","Ziffer6","^jpl Kassen_Funktion('ZIFFER','6')"
"ZIFFER","7","Ziffer 7","^jpl Kassen_Funktion('ZIFFER','7')"
"ZIFFER","8","Ziffer8","^jpl Kassen_Funktion('ZIFFER','8')"
"ZIFFER","9","Ziffer9","^jpl Kassen_Funktion('ZIFFER','9')"
