"Nummer","Bezeich","GatterDefine","CSharpTyp","LenMax","NachkDef","Typ","Match","Hilfe"
"8162","Zahlungsbedingung3","ID_KKD_ZAHLBEDINGUNGZ3","string","256","0","10","Zahlungsbedingung3","Zahlungsbedingung 3"
"8163","Zahlungsbedingung4","ID_KKD_ZAHLBEDINGUNGZ4","string","256","0","10","Zahlungsbedingung4","Zahlungsbedingung 4"
"8164","FibuvorgangsId","ID_KKD_FIBUV_ID","int","15","0","10","FibuvorgangsId","Fibu Vorgangsid"
"8165","Fibu Positionszähler","ID_KKD_FIBUV_POSZAEHLER","int","15","0","10","Fibuvorgangszähler","Fibu Positionszähler"
"8166","Buchtyp der Finanzbuchhaltung","ID_KKD_FIBUVP_BUCHTYP","int","15","0","10","Fibuvorgansgposition","Buchtyp der Finanzbuchhaltung"
"8167","Zahlungsbedingungsnummer","ID_KKD_ZAHLBEDNUMMER","int","15","0","10","Zahlungsbedingungsnu","Zahlungsbedingungsnummer"
"8168","Kostenstellennummer","ID_KKD_KOSTSTELNUMMER","int","15","0","10","Kostenstellennummer","Kostenstellennummer"
"8170","Steuerabdatum","ID_KKD_STEUERABDATUM","DateTime","10","0","12","Steuerabdatum","Diese gehört zur Klasse,Gruppe,Schlüssel, Abdatum-kombination, aus der der verwendete Steuersatz b"
"8171","Kontonummer Skonto","ID_KKD_KONTONUMMERSKO","int","15","0","10","Kontonummer Skonto","Die Skonto Kontonummer"
"8172","Soll Haben in der Fibuvorgangsposition","ID_KKD_FIBUVP_SOLLHABEN","short","8","0","10","FibuVorgangPosition","Soll Haben in der Fibuvorgangsposition"
"8173","Nettokennzeichen","ID_KKD_FIBUVP_NETKENNZ","short","8","0","10","Nettokennzeichen","Nettokennzeichen in der Fibuvorgangsposition"
"8174","Betrag","ID_KKD_FIBUVPW_BETRAG","double","20","2","11","Betrag","Nettobetrag in der Fibuvorgangsposition"
"8175","Steuersatz","ID_KKD_FIBUVP_STEUSATZ","double","20","2","11","Steuersatz","Steuersatz in der Fibuvorgangsposition"
"8176","Steuerform","ID_KKD_FIBUVP_STEUFORM","short","8","0","10","Steuerform","Steuerform in der Fibuvorgangsposition"
"8177","Steuerwert","ID_KKD_FIBUVPW_STEUWERT","double","20","2","11","Steuerwert","Steuerwert  in der Fibuvorgangsposition"
"8178","Steuermanuell Kenzeichen","ID_KKD_FIBUVP_STMANKENN","short","8","0","10","FIBUVP_STMANKENN","Wurde die Steuer manuell angepasst, so steht hier eine 1"
"8179","Skontofehlbetrag","ID_KKD_FIBUVP_SKFBETRAG","double","20","2","11","Skontofehlbetrag","******** WIRD NICHT VERWENDET"
"8180","Skontobetrag","ID_KKD_FIBUVP_SKOBETRAG","double","20","2","11","Skontobetrag","Skontobetrag  in der Fibuvorgangsposition"
