"Nummer","Bezeich","GatterDefine","CSharpTyp","LenMax","NachkDef","Typ","Match","Hilfe"
"0","Gewichtssumme_brutto_Zugang","ID_GEWICHTBRUTTO_ZUG","double","20","2","0","gewichtbrutto_zug",""
"1","Festtext","ID_FESTTEXT","string","255","0","1","festtext","Fester Text"
"2","SQL Statement","ID_SQL","string","4096","0","2","ID_SQL",""
"3","Text-Variable","ID_VARTEXT","string","256","0","0","VarText",""
"4","Zahl-Variable","ID_VARNUM","double","16","2","3","VarNum",""
"5","Datum-Variable","ID_VARDAT","DateTime","10","0","0","VARDAT",""
"6","Adress-Variable","ID_VARADR","void","132","0","5","VARADR",""
"7","SQL Zugriff auf Daten","ID_SQLK","string","255","2","0","SQL",""
"8","Bemerkungstext-Variable","ID_VARBEMERK","void","255","0","5","VARBEMERK",""
"9","SQL-Variable","ID_VARSQL","string","255","0","0","SQLVar",""
"10","Blattnummer","ID_IT_SEITE","int","8","0","4","ID_BLATT",""
"11","Tagesdatum","ID_IT_TAGESDATUM","DateTime","10","0","4","Tagesdatum",""
"12","Direktory für Crystal Report Dateien","ID_REPORTDIR","string","64","0","0","ID_REPORTDIR",""
"13","Kurzname des Bedieners","ID_BEDIENERKURZ","string","20","0","0","ID_BEDIENERKURZ",""
"14","Id des Bedieners","ID_BEDIENERID","int","8","0","3","ID_BEDIENERID",""
"15","Klasse des Bedieners","ID_BEDIENERKLASSE","int","8","2","3","ID_BEDIENERKLASSE",""
"16","Mandantenkennung","ID_MANDANT","string","10","0","0","ID_MANDANT",""
"17","Sprachkodierung","ID_SPRACHE","int","3","0","3","ID_SPRACHE",""
"18","Verpackungsbezeichnung","ID_GEFAHR_VERPBEZ","string","40","0","0","VerpBez","Verpackungsbezeichnung"
"19","Bezugsgroesse","ID_GEFAHR_BEZUGSGROESSE","double","12","2","3","BezugsGroesse",""
"20","Makro Prozedur ausführen","ID_MACRO_PROC","void","255","0","0","PROC","Ausgabe durch Makro ermitteln"
"21","Spaltenberechnung per Makro","ID_MAKRO_COLUMN","void","128","0","0","ID_MAKRO_COLUMN","wird nur intern von der Formularsteuerung benutzt"
"22","Bitmap aus Datei/Archiv","ID_BITMAP_FILE","void","255","0","0","Bitmap File/Archiv","Name einer BMP-Datei/Archiv-Referenz"
"23","Bezugstyp","ID_GEFAHR_BEZUGSTYP","int","8","0","0","BezugsTyp",""
"24","Kategoriefaktor","ID_GEFAHR_KATEGORIEFAKTOR","int","8","0","0","KategorieFaktor",""
"25","Kategoriegrenzmenge","ID_GEFAHR_KATEGORIEGRENZMENGE","int","8","0","0","KategorieGrenzMenge",""
"26","Verpackungsanzahl","ID_GEFAHR_VERPANZAHL","double","12","2","3","VerpackungsAnzahl",""
"27","Verpackungscode","ID_GEFAHR_VERPCODE","string","40","0","0","VerpackungsCode",""
"28","Verpackungscode 2","ID_GEFAHR_VERPCODE2","string","40","0","0","Verpackungscode2",""
"29","VerpackungsRN","ID_GEFAHR_VERPRN","string","40","0","0","VerpackungsRN",""
"30","Verpackungstyp","ID_GEFAHR_VERPTYP","string","40","0","0","VerpackungsTyp",""
"31","Verpackungswertstoff","ID_GEFAHR_VERPWERTSTOFF","string","40","0","0","VerpackungsWertStoff",""
"32","Ziffer","ID_GEFAHR_ZIFFER","string","40","0","0","Ziffer",""
"33","Statusmerker für interne Zwecke","ID_STATUS","int","2","0","0","status",""
"34","Zentral bzw. Buchwährung","ID_IT_BUCHWAEHRUNG","void","4","0","4","BUCHWAEHRUNG","Zentral bzw. Buchwährung"
"35","Buchwährung in Textformat","ID_IT_BUCHWAEHRUNGTEXT","void","4","0","4","BuchwaehrungText","Buchwährung in Textformat"
"36","JVars-Text-Variable","ID_JVARSTEXT","string","256","0","0","JVarsText",""
"37","JVars-Zahl-Variable","ID_JVARSNUM","double","16","2","3","JVarsNum",""
"38","Anzahl Produktionen","ID_PRODANZAHL","int","16","0","3","ProdAnzahl",""
"39","Signatur","ID_SIGNATUR","string","255","0","0","Signatur",""
"40","Textdokument","ID_FESTTEXTWORD","void","255","0","0","Textdokument",""
"41","Bitmap aus LiLa","ID_BITMAP_LILA","void","255","0","0","Bitmap LiLa","Bitmap aus LILA"
"42","Formularnummer Vorgang","ID_FORMULARIDVORGANG","int","8","0","3","Formularnummer Vorg.",""
"43","Formularbezeichnung","ID_FORMULARID_BEZEICH","string","40","0","0","Formularbezeichnung",""
"44","Datenbankprozedur mit Resultset","ID_DB_PROC","","255","0","0","ID_DB_PROC",""
"45","EPC-QR-CODE","ID_EPC_QR_CODE","void","255","0","0","EPC-QR-CODE","EPC-QR-CODE per LILA"
"46","TSE_QR_CODE","ID_TSE_QR_CODE","void","255","0","0","TSE_QR_CODE","TSE QR CODE für Lila"
"50","Gänsefüßchen","ID_GAENSEFUESSCHEN","void","1","0","0","gaensefuss","ASCII SH-2"
"51","einfache Linie","ID_EINFACH_LINIE","void","255","0","0","Linie","einfache Linie speziell für Windows+ASCII"
"52","doppelte Linie","ID_DOPPEL_LINIE","void","255","0","0","Doppellinie","Doppelte Linie für Windows + ASCII Druck"
"53","einfache Linie 2","ID_EINFACH_LINIE2","void","255","0","0","einf linie 2",""
"54","doppelte Linie 2","ID_DOPPEL_LINIE2","void","255","0","0","dopp linie 2",""
"55","Druckfeld","ID_DRUCKFELD","string","255","0","0","Druckfeld",""
"56","Teilbereich bewegen","ID_FRM_ZIEL_KOPIE","","0","0","1","Teilbereich bewegen",""
"60","Verpackungsgruppe Gefahrgut","ID_GEFAHR_VERPGRUPPE","string","8","0","0","Verpackungsgruppe",""
"61","Gefahrzettel Gefahrgut","ID_GEFAHR_GEFAHRZETTEL","string","80","0","0","Gefahrzettel",""
"62","Tunnelbeschränkungscode","ID_GEFAHR_TUNNELCODE","string","40","0","0","Tunnelcode",""
"63","Ist das Gefahrgut mit Wasser löschbar?","ID_GEFAHR_LOESCHWASSER","","2","0","0","Löschbar",""
"64","Ist das Gefahrgut mit Schaum löschbar?","ID_GEFAHR_LOESCHSCHAUM","","2","0","0","Löschbar",""
"65","Ist das Gefahrgut mit CO2 löschbar?","ID_GEFAHR_LOESCHCO2","","2","0","0","Löschbar",""
"66","Ist das Gefahrgut mit Pulver Löschbar?","ID_GEFAHR_LOESCHPULVER","","2","0","0","Löschbar",""
"67","Passende Signatur zum Beleg","ID_BITMAP_SIGNATUR","void","0","0","0","ID_BITMAP_SIGNATUR","Passende Signatur zum Beleg"
"100","Klassennummer","ID_V_KLASSNUMMER","int","8","0","3","Klassennummer",""
"101","Unterklassennummer","ID_V_UKLASSNUMMER","short","8","0","0","Unterklasse",""
"102","Kunden ID zum Vorgang","ID_KUNDIDZUORD","int","8","0","0","KundIdZuordn",""
"103","Vorgangsdatum","ID_V_DATUM","DateTime","10","0","0","Vorgangsdatum",""
"104","Vorgangsnummer","ID_V_NUMMER","string","20","0","0","Vorgangsnummer",""
"105","Nummern aus dem Nummernkreis","ID_V_NUMNUMMER","int","8","0","3","NumNummer",""
"106","Kundennummer","ID_KUNDNUMMER","int","8","0","3","KundNummer",""
"107","Hauptadresse","ID_HAUPTADRESSID","int","132","1","5","Hauptadresse","Länge des Adressblockes"
"108","Versandadresse oder Hauptadresse","ID_VERSANDADRESSID","int","132","1","5","versadressid","Länge des Adressblockes"
"109","Vorgangs ID","ID_V_ID","int","12","0","3","V_ID",""
"110","Wiegeschein-Nummer","ID_V_WIEGENUMMER","int","20","0","0","v_wiegenummer",""
"111","Anzahl manuelle Steuerbeträge","ID_MANUELLE_STEUER","int","4","0","3","manuelle_steuer","NUR ZUM INTERNEN GEBRAUCH!"
"112","Datum der Steuersatzermittlung","ID_V_DATUM_STEUER","DateTime","10","0","0","v_datum_steuer",""
"113","Textdokument","ID_KUNDID_NACKT","int","10","0","3","Textdokument",""
"114","Vorgangs-Unternummer","ID_V_UNTERNUMMER","int","4","0","3","v_unternummer",""
"115","Externe Kundennummer","ID_KUNDEXTNUMMER","string","30","0","0","KundExtNummer",""
"116","Einkommensteuernummer des Kunden","ID_EINKOMMENSTEUERNUMMER","string","40","0","0","EINKOMMENSTEUERNR",""
"117","Dauerauftrag Anfangsdatum","ID_DAUER_ANFDAT","DateTime","10","0","0","DauerAnfang",""
"118","Dauerauftrag nächster Termin","ID_DAUER_NAEDAT","DateTime","10","0","0","Dauer Nächats Dat",""
"119","Dauerauftrag Periode","ID_DAUER_PERIODE","int","3","0","3","Dauerauftrga periode",""
"120","Dauerauftrag Gültigkeit","ID_DAUER_GUELTIG","DateTime","40","0","0","Dauer Gültigkeit",""
"121","Hoflisten ID","ID_OWAAGE_ID","int","10","0","0","owaage_id","Die ID des Wiegeeintrages in der Hofliste"
"122","Dauerauftrag Enddatum","ID_DAUER_ENDDAT","","10","0","0","DauerEnde",""
"125","Kassen-Vorgangs-Kennzeichen","ID_KASSENVORGANG","short","8","0","3","Kasse","größer 0 bei Kassenvorgängen"
"140","Valid-Kennzeichen","ID_VALID","int","1","0","0","Validkennzeichen","z.B. Valid-Kennzeichen 0 bzw. 1 für Vorgang"
"150","Sperre gegen Umwandlung","ID_SPERRUMWANDLUNG","short","4","0","3","sperrumwandlung",""
"160","Währungsumrechnungsfeld SQL","ID_WAEHRUMRECHNUNG","double","14","4","3","waehrumrechnung","Internes Umrechnungsfeld für SQL Statements"
"161","Waherungsumrechnungsfeld f. Preis","ID_WAEHRUMRECHNUNG_PREIS","double","14","4","3","waehrumrechnung_pr","Internes Umrechenfeld für SQL Boxes"
"170","Nettowiegung","ID_NETTOWIEGUNG","double","12","4","3","Nettowiegung",""
"171","Wiegung1","ID_WIEGUNG1","string","70","0","0","Wiegung1",""
"172","Wiegung2","ID_WIEGUNG2","string","70","0","0","Wiegung2",""
"173","Speditionsadresse","ID_SPEDITIONSADRESSE","void","132","1","5","Speditionsadresse","Länge des Adressblockes"
"174","AddOnId","ID_ADDON_ID","int","12","0","3","AddOnId",""
"175","EDI Kunden Auftragsdatum","ID_EDI_KU_AUFTRAGS_DATUM","DateTime","10","0","0","Ku Auftrag Datum",""
"176","EDI Kunden Auftragsnummer","ID_EDI_KU_AUFTRAGS_NUMMER","string","17","0","0","Ku Auftrag Nummer",""
"177","1teWZeit","ID_1TEWZEIT","string","25","0","0","1teWZeit",""
"178","2teWZeit","ID_2TEWZEIT","string","25","0","0","2teWZeit",""
"180","Vorgangstext (Kopf/Fuß)","ID_VORGTEXT","string","255","0","0","vorgtext","Switch = Textklasse"
"181","Vorgangstextklasse","ID_VORGTXKLASSE","string","40","0","0","vorgtxklasse","Switch = Textklasse"
"182","Vorgangstextklasse (Bezeichnung)","ID_VORGTXKLBEZEICH","string","40","0","0","vorgtxklbezeich","Switch = Textklasse"
"183","Vorgangstextgruppe (Textnummer)","ID_VORGTXGRUPPE","int","8","0","3","vorgtxgruppe",""
"184","Vorgangstextgruppe (int.Verweis!)","ID_VORGTXGRID","int","8","0","3","vorgtxgrid","NICHT für Formulareinrichtung!"
"185","Vorgangstext-Auflösungs-Kennzeichen","ID_VORGTXGRAUFLKENNZ","int","1","0","3","vorgtxgrauflkenn","NICHT für Formulareinrichtung!"
"186","Vorgangstext-Bemerkungs-Verweis","ID_VTEXT_BEMERKID","int","10","0","3","vtext_bemerkid","NICHT für Formulareinrichtung!"
"187","Maximale Vorgangsstufe für Texte","ID_VORGTXGRMAXSTUFE","int","1","0","3","vorgtxgrmaxstufe","nicht zum Einrichten!"
"188","Anzahl vorh. Vorgangstexte","ID_VTEXT_ANZAHL","int","4","0","3","vtext_anzahl","NICHT EINRICHTBAR!"
"189","Vorgangstext","ID_VTEXT_TEXT","string","255","0","0","vtext_text","NICHT FÜR DRUCKEINRICHTUNG!"
"190","Vorgangstext-Bezeichnung","ID_VORGTXGRBEZEICH","string","40","0","0","vorgtxgrbezeich","NICHT FÜR DRUCKEINRICHTUNG!"
"191","Vorgangstexte bereits aufgelöst?","ID_VTEXT_FERTIG","int","1","0","3","vtext_fertig","NICHT FÜR DRUCKEINRICHTUNG!"
"192","Vorgangstext-Auflösung erfolgt?","ID_TEXTE_AUFGELOEST","int","1","0","3","texte_aufgeloest","NUR INTERN!"
"193","Maximale Vorgangsstufe","ID_MAX_STUFE","int","1","0","3","max_stufe","NUR INTERN!!!"
"194","Faxnummer aus Hauptanschrift","ID_FAXNUMMER_HA","string","40","0","0","faxnummer",""
"195","AdressId des Rechnungempfängers","ID_ADRESSIDRECHN","int","10","0","0","id_rechn",""
"196","Adressid des Zahlungspflichtgen","ID_ADRESSIDFINANZ","int","10","0","0","AdressidFinanz",""
"201","Zahlart Kassenbeleg","ID_KASSE_ZAHLART","string","16","0","0","Kasse_Zahlart",""
"202","Zahlart Betrag","ID_KASSE_ZAHLARTBETRAG","double","16","2","3","Kasse Zahlartbetrag",""
"203","Zahlbetrag gesamt Kasse","ID_KASSE_ZAHLBETRAG","double","16","2","3","Kasse Zahlbetrag",""
"204","Skontobetrag Kasse","ID_KASSE_SKONTOBETRAG","double","16","2","3","Kasse Skontobetrag",""
"205","Kasse Rückgeld","ID_KASSE_RUECKGELD","double","16","2","3","Kasse_Rueckgeld",""
"206","Kassenzahlwährung","ID_KASSE_ZAHLWAEHRTEXT","string","20","0","0","KASSE_ZAHLWAEHRUNG",""
"210","Rückgeld des letzten Kassenvorgangs","ID_KASSE_RUECK_LETZTER","double","12","2","3","Kasse_Rueck_letzter",""
"211","gezahlter Betrag des letzten Kunden (KS)","ID_KASSE_ZAHLBETRAG_LETZTER","double","12","2","3","Kasse_ZBetrag_letzte",""
"212","Betrag des letzten Kassenvorgangs","ID_KASSE_BETRAG_LETZTER","double","12","2","3","Kasse_Betrag_Letzter",""
"400","Merker für WaBewZusatz","ID_WABEW_ZUSATZ","int","0","0","3","BABEWZUSATZ",""
"401","automatische EK-Preis Maske im VK","ID_VKPBEWMSKAUT","short","0","0","0","VKPBEWAUTO",""
"402","Zuabschlag korrigiert durch Bediener","ID_ZUAB_KORR_BEDIENER","string","20","0","0","ZuabKorrBediener","Bedienerkurztext, der hier korrigiert hat"
"403","ZuAbschlags Korrekturkennzeichen","ID_ZUAB_KORR_KENNZ","int","5","0","3","ZUABKorrKennz","0/1 kennzeichen der Korrektur"
"404","Einzelzeilen auf Kokore unterdrücken","ID_KENNZ_DRUCK_KOKORE","int","6","0","3","ID_KENNZ_DRUCK_KOKOR",""
"405","SummeGebindeErgebnis 1","ID_SUM_GEBINDE_ERG1","double","15","2","3","SummeGebindeErge1",""
"406","SummeGebindeErgebnis 2","ID_SUM_GEBINDE_ERG2","double","15","2","3","SummeGebindeErge1",""
"411","RFS-DTA Laufnummer","ID_RFS_LAUFNUMMER","int","9","0","3","RFS Laufnummer",""
"412","RFS_DTA Erstelldatum","ID_RFS_ERSTELLDATUM","DateTime","10","0","0","RFS_Erstelldatum",""
"413","RFS-Fällig","ID_RFS_FAELLIG","DateTime","10","0","0","RFS fällig",""
"414","RFS Valuta Datum","ID_RFS_VALUTA_DATUM","DateTime","10","0","0","RFS Valuta",""
"415","RFS-Konto","ID_RFS_KONTO","string","10","0","0","RFS-Konto",""
"416","RFS Sammelbuch.KZ (*)","ID_RFS_SAMMELBUCH_KZ","string","10","0","0","RFS KZ Sammelbuchung",""
"417","RFS Verwendungszweck","ID_RFS_VERWENDUNG","string","60","0","0","RFS Verwendung",""
"418","RFS GutschriftsBetrag","ID_RFS_GUTSCHRIFT","double","12","2","3","RFS Gutschrift",""
"419","RFS Lastschriftsbetrag","ID_RFS_LASTSCHRIFT","double","12","2","3","RFS Lastschrift",""
"420","RFS BLZ","ID_RFS_BLZ","string","9","0","0","RFS BLZ",""
"421","RFS Belege Lastschriften","ID_RFS_BELEGE_LASTSCHRIFT","int","9","0","3","RFS Belege LS",""
"422","RFS Belege Gutschriften","ID_RFS_BELEGE_GUTSCHRIFT","int","9","0","3","RFS Belege GS",""
"423","RFS Summe Lastschriften","ID_RFS_SUMME_LASTSCHRIFT","double","12","2","3","RFS Summe LS",""
"424","RFS Summe Gutschriften","ID_RFS_SUMME_GUTSCHRIFT","double","12","2","3","RFS Summe GS",""
"425","Warenbewegung Addon Daten","ID_WARENBEWEGUNG_ADDON","string","255","0","0","WabewAddon",""
"426","Rückliferungskennzeich bei Teilumwandlun","ID_RUECKLIEFERUNGS_KZ","short","0","0","0","Rücklieferungskz",""
"427","Abweichende Rohware Sorte","ID_ABW_ROHW_SORTE","int","10","0","0","Abweichen Rohw Sorte",""
"428","Kundnummer abweichender Rohware Kunde","ID_ABW_ROHW_KUNDNUMMER","int","10","0","0","abweichender",""
"429","Kundid abweichender Rohwaren Kunde","ID_ABW_ROHW_KUNDID","int","0","0","0","Kundid abw Rohw Kund",""
"430","RohwareVorerfassung","ID_ROHWAREVORERFASSUNG","short","0","0","0","RohwVorerfas",""
"431","Netto ohne Zuab/Rab/Fracht","ID_NETTO_OHNE","double","16","2","3","Netto ohne Zuabs",""
"432","Steuer ohne Zuab/Rab/Fracht","ID_STEUER_OHNE","double","16","2","3","Steuer ohne Zuab",""
"433","Brutto ohne Zuab/Rab/Fracht","ID_BRUTTO_OHNE","double","16","2","3","Brutoo ohnen ZUAB",""
"434","Betrag ohne Zuab/Rab/Fracht","ID_BETRAG_OHNE","double","16","2","3","Betrag ohne ZUab",""
"435","Arbeitsregel","ID_ARBEITSREGEL","int","10","0","3","Arbeitsregel",""
"436","Arbeitsregel Name","ID_ARBEITSREGEL_NAME","string","40","0","0","Arbeitsregel Name",""
"437","Arbeitsregel Kurzname","ID_ARBEITSREGEL_KURZNAME","string","10","0","0","Arbeitsregel Kurznam",""
"438","Menge oder Gebindeanzahl","ID_MENGE_ODER_GEBINDE","double","15","2","0","Gebinde oder Menge",""
"439","Skontobetrag pro Steuer","ID_SKONTO_PRO_STEUER","double","20","2","3","Skonto_Steuer",""
"440","Kostenträger Nummer","ID_KSTRNUMMER","int","10","0","3","Kostenträger",""
"441","Kostenträgergruppe","ID_KSTRGRUPPE","string","10","0","0","Kostenträegergruppe",""
"442","SteuerText","ID_STEUERTEXT","string","80","0","0","Steuertext",""
"443","Zugriff auf Partiestammdaten","ID_PARTIE_STAMMDATEN","string","255","0","0","PartieStammDaten","Zugriff über den Feldname aus dem text"
"444","Zugriff PartieAddon","ID_PARTIE_ADDON","string","255","0","0","Partie Addon","DB-Spaltennamen aus Text"
"445","Zugriff auf PartieMaskeDaten","ID_PARTIE_MASKEDATEN","DateTime","255","0","0","Partie Maskedaten","DB-Saltennamen aus Text"
"448","Kostenobjektgruppe","ID_KSOBJGRUPPE","int","10","0","0","Kostenobjekt",""
"449","Kostenobjektnummer","ID_KSOBJNUMMER","int","10","0","0","Kostenobjekt",""
"450","Abweichende Lagernummer erlaubt RW-Wandl","ID_ABW_ROHW_LAGERKENNZID","int","0","0","0","Abw Lager RW-Wandlun",""
"451","Abweichende Lagernummer RW-Wanlung","ID_ABW_ROHW_LAGERID","int","10","0","0","Abw Lager RW-Wandlun",""
"452","Abw. Lagerplatz bei RW-Wandlung","ID_ABW_ROHW_LAGERPLZID","int","10","0","0","Abw Lager RW-Wandlun",""
"453","Zugriff auf OWAAGE Daten","ID_WAAGE_DATEN","string","255","0","0","WAAGE Daten",""
"454","Zugriff auf OWAAGEADDON Daten","ID_WAAGEADDON_DATEN","string","255","0","0","WAAGE ADDON",""
"455","Bruttopreis","ID_BRUTTO_PREIS","double","20","2","3","Bruttopreis",""
"456","Transportweg","ID_TRANSPORTWEG","int","9","0","0","Transportweg",""
"457","Verfahrensart","ID_VERFAHRENSART","int","9","0","0","Verfahrensart",""
"458","Geschäftsart","ID_GESCHAEFTSART","int","9","0","0","Geschäftsart",""
"459","Textdokument","ID_TEXTBLOB","int","255","0","0","TextBlob",""
"460","Original Menge","ID_WABEWORIMENGE","double","0","0","3","Orimenge",""
"461","Textdokument Artikel als Anhang","ID_TEXTDOKUMENT_ARTIKEL","string","255","0","0","TextDokument",""
"462","Normaltext oder Textdokument","ID_TEXT_ODER_DOKUMENT","void","255","0","0","Dok oder Text",""
"463","SQL STatement für text Dokumnet","ID_SQL_TEXT_DOKUMENT","string","0","0","0","DQl für Textdokument","wid nur intern benutzt, keine Druckposition !"
"464","Textdokument in Artikel-Position","ID_TEXTDOK_ARTIKEL_INPOS","string","255","0","0","TxtDok in Pos",""
"465","MarkierungsIdentifikation","ID_MARKIERIDENT","int","10","0","0","MarkierIdent",""
"466","KontraktZuordnungsTyp intern","ID_KTR_ZUORDNUNG_INTERN","int","5","0","0","Kontrakt Zuordnung",""
"467","Zugriff auf Partie Lagerplatzdaten","ID_LAGERPLATZORT","string","255","0","0","Partie Lagerplatz","DB-Spaltennamen aus View amic_v_lagerplatzort"
"468","Zugriff auf Partie Quelllagerplatzdaten","ID_QUELLLAGERPLATZ","string","255","0","0","Partie Quelllagerpla","DB-Spaltennamen aus View amic_v_lagerplatzort"
"469","Vorgang in interner Bearbeitung","ID_SV_INTERFACE","int","5","0","0","SV_Interface",""
"470","Herkunft-Ziel/Staat","ID_HERKUNFTZIELLAND","","5","0","0","Herkunft-Ziel/Staat",""
"471","Region","ID_HERKUNFTZIELREGION","","5","0","3","Region",""
"472","Herkunft-Ziel/Staat Bezeichnung","ID_BEZ_HERKUNFTZIELLAND","","5","0","0","Herkunft-Ziel/Staat","Herkunfts Land Bezeichnung"
"473","Region Bezeichnung","ID_BEZ_REGION","","5","0","0","Region","Region Bezeichnung"
"500","Klammernummer","ID_KLAMMERNR","int","15","0","0","Klammernummer",""
"501","Eingangsmappen Id","ID_EINMAPPID","int","10","0","0","Einmappid",""
"502","Klammertyp","ID_KLAMMERTYP","int","15","0","0","Klammertyp",""
"503","Spalte aus einem SQL Ergebnispuffer","ID_SQL_SPALTE","void","255","0","0","SQL_SPALTE",""
"504","Umsatzsteuer-ID des Kunden","ID_USTID_KUNDE","","16","0","0","ID_USTID_KUNDE",""
"505","Umsatzsteuer-ID dieser Firma","ID_USTID_MANDANT","","16","0","0","ID_USTID_MANDANT",""
"506","ZzuAbschlag wirkt auf den Preis","ID_ZUAB_PREISWIRKSAM","int","20","0","3","Zuab preiswirksam",""
"507","Preisänderung durch ZuAbschlag","ID_ZUAB_PREISAENDERUNG","double","20","2","3","Preisänderung",""
"508","EK bei Bewertung nicht berücksichtigen","ID_EK_NICHT_BEWERTEN","","5","0","3","",""
"509","Gewichtsumme Brutto Zugang","ID_GEWICHTSUMME_BRUTTO_ZUG","","20","2","0","gewichtsum_brt_zug",""
"510","Gewichtsumme Brutto Abgang","ID_GEWICHTSUMME_BRUTTO_ABG","","20","2","0","gewichtsum_brt_abg",""
"511","Einlagerung","ID_EINLAGERUNG","int","5","0","0","Einlagerung",""
"512","Einlagerungsabholung","ID_EINLAGERUNGABHOLUNG","","5","0","0","Einlagerun Abholung",""
"513","Einlagerung Vereinnahmung","ID_EINLAGERUNGVEREINNAHMUNG","int","5","0","0","Einlagerung Vereinna",""
"514","Kommission","ID_KOMMISSION","int","5","0","0","Kommission",""
"515","Kommissionsverkauf","ID_KOMMISSIONSVERKAUF","int","5","0","0","Kommissions Verkauf",""
"516","Kommissionsreverse","ID_KOMMISSIONREVERSE","int","5","0","0","Kommission Reverse",""
"517","Vorverkauf","ID_VORVERKAUF","int","5","0","0","Vorverkauf",""
"518","Vorverkauf Abholung","ID_VORVERKAUFABHOLUNG","int","5","0","0","Vorverkauf Abholung",""
"519","Vorverkauf Reverse","ID_VORVERKAUFREVERSE","int","5","0","0","Vorverkauf Reverse",""
"520","Voreinkauf","ID_VOREINKAUF","int","5","0","0","Voreinkauf",""
"521","Voreinkauf Anlieferung","ID_VOREINKAUFANLIEFERUNG","int","5","0","0","Voreinkauf  Anliefer",""
"522","Voreinkauf Reverse","ID_VOREINKAUFREVERSE","int","5","0","0","Voreinkauf Reverse",""
"523","Text für Einlagerung","ID_TEXT_EINLAGERUNG","","80","0","0","Text Einlagerung",""
"524","Text für Einlagerung Abholung","ID_TEXT_EINLAGERUNG_ABHOLUNG","","80","0","0","Text Einlagerung Abh",""
"525","Text für Einlagerung Vereinnahmung","ID_TEXT_EINLAGERUNG_VEREINNAHMUNG","","80","0","0","Einlagerung Vereinna",""
"526","Text für Kommission","ID_TEXT_KOMMISSION","","80","0","0","Text Kommission",""
"527","Text für Kommissionsverkauf","ID_TEXT_KOMMISSION_VERKAUF","","80","0","0","Text Kommissionsverk",""
"528","Text für Kommissionsrücknahme","ID_TEXT_KOMMISSION_REVERSE","","80","0","0","text Kommissions Rüc",""
"530","Text für Vorverkauf","ID_TEXT_VORVERKAUF","","80","0","0","Text Vorverkauf",""
"531","Text für Vorverkauf Abholung","ID_TEXT_VORVERKAUF_ABHOLUNG","","80","0","0","Text Vorverkauf Abh",""
"532","Text für Vorverkauf Rücknahme","ID_TEXT_VORVERKAUF_REVERSE","","80","0","0","Text Vorverkauf Rück",""
"533","Text für Voreinkauf","ID_TEXT_VOREINKAUF","","80","0","0","Text Voreinkauf",""
"534","Text für Voreinkauf Anlieferung","ID_TEXT_VOREINKAUF_ANLIEFERUNG","","80","0","0","Text Voreinkauf Anli",""
"535","Text für Voreinkauf Rücknahme","ID_TEXT_VOREINKAUF_REVERSE","","80","0","0","Text Voreinkauf Rück",""
"536","KtrBuchTyp","ID_KTRBUCHTYP","","0","0","0","",""
"537","Text für Wertartikel","ID_TEXT_WERTARTIKEL","","80","0","0","Text Wertartikel",""
"538","Ist Wertartikel 0/1","ID_ISTWERTARTIKEL","","20","0","3","Ist Wertartikel",""
"540","Kollo Ergebnis","ID_PREISBEZUG","double","20","0","3","KolloErgebnis","Bei Preisbezug (Gesamt Menge/Gewicht) zu Preisermittlung"
"541","Bezeichnung PreisbezugME","ID_PREISBEZUGME_BEZEICH","","20","0","0","Kollo ME Bezeich",""
"542","Preisbezug  manuell erfasst","ID_PREISBEZUG_MANUELL","short","0","0","0","Kollo Manuell erfast","Wurde DAs Kolloergebnis Manuell erfasst"
"543","Menge oder Preisbezug","ID_MENGE_ODER_PREISBEZUG","double","20","2","3","Menge Oder Kollo Erg","Alternativ Menge oder Ergbis der Kolloeingabe"
"544","ME Text oder ME von Kolloergebnis","ID_ME_TEXT_ODER_PREISBEZUG_ME","string","20","0","0","ME_TEXT oder Kollo","alternativ Mengeneinheitsbezeich der Menge oder zum Kollo"
"545","Zugriff Addon Vorgangstamm","ID_VORGANG_ADDON","","255","2","0","Vorgang Addon",""
"546","Skontierfähing ohne Mengennachbehandlung","ID_SKONTIERFAEHIG_NACKT","int","3","0","0","Skontierfähig nackt","nur  für Putvalue in Warenposition"
"547","informelle Anschrift","ID_INFOADRESSID","","0","0","5","InformelleAnschrift",""
"548","PreisBezugsmengeneinheit","ID_PREISBEZUG_ME","","8","0","0","Preisbezug ME",""
"549","Nullpreis Okay","ID_NULLPREIS_OKAY","","20","0","0","",""
"550","Vorläufiger Preis","ID_PREIS_VORLAEUFIG","","20","0","0","",""
"551","Anzahl obskurer Preise","ID_ANZAHLOBSCUREPOS","","20","0","0","",""
"552","Gebinde oder ME Bezeichnung","ID_ME_ODER_GEBINDE_BEZEICHNUNG","","60","0","0","GEBODERMEBEZEICH",""
"553","Nur Kontraktbuchung ohne Warenbezug","ID_WABEWKTRBUCHKORR","int","5","0","0","KontraktBuchTyp",""
"554","TextInfo zur Preisherkunft","ID_WABEW_PREISWOHERTEXT","","0","0","0","",""
"555","KundennummerwechselAusführen","ID_KUNDNUMMER_WECHSEL_EX","","0","0","0","",""
"556","Kundennummerwechsel Parameter","ID_KUNDNUMMER_WECHSEL_PAR","","0","0","0","",""
"557","Washout Circle Belege","ID_WASHOUT_ODER_CIRCLE","int","5","0","0","Washout Circle","Mit dieser Id kann das Kennzeichen auf Washout oder Circle in der Warenbewegung gesetzt werden"
